First_pokemon,Second_pokemon,Winner
503,186,503
352,244,244
136,681,136
92,6,6
317,315,315
6,731,731
283,43,43
619,391,619
274,540,540
456,101,456
541,446,541
149,469,469
730,754,730
57,253,57
205,72,72
326,495,495
632,462,462
788,424,424
130,498,498
51,358,358
661,758,758
517,457,517
140,576,576
17,387,387
2,5,5
447,565,565
433,622,622
89,690,690
468,371,371
192,162,162
123,334,123
755,210,755
284,620,284
186,466,466
153,395,153
187,48,48
431,27,431
222,680,222
212,92,212
481,571,481
531,231,531
739,126,126
427,716,427
13,612,13
686,172,172
179,742,179
679,621,679
546,309,546
363,597,597
281,107,107
781,373,373
260,599,260
314,383,314
274,401,274
224,778,778
708,774,708
649,231,649
455,540,540
249,354,249
502,324,502
271,615,271
591,754,591
638,748,748
244,346,244
51,300,300
524,787,524
161,738,738
117,361,361
300,309,300
452,692,692
532,789,789
657,360,657
610,296,610
519,563,519
757,149,757
677,135,135
72,551,72
718,222,718
513,140,513
95,225,95
4,767,4
660,29,29
653,553,553
34,79,79
17,688,688
88,622,622
687,348,687
738,576,576
89,731,731
383,595,383
649,528,528
778,557,557
201,548,548
490,393,490
188,55,55
472,678,472
119,545,545
20,718,718
708,450,708
714,592,714
158,315,158
649,608,608
349,607,349
584,494,494
619,681,681
18,530,530
584,609,609
137,607,137
251,324,251
757,138,138
32,263,263
374,1,1
707,353,707
304,294,304
42,339,339
566,393,393
645,432,432
52,698,698
453,660,660
96,648,648
275,353,275
17,766,766
74,536,536
40,738,40
703,223,703
600,155,155
403,49,403
377,410,410
677,412,677
687,111,687
382,240,240
454,640,454
480,576,576
339,662,339
119,126,126
488,660,660
456,735,735
197,604,604
551,752,752
723,482,723
481,573,481
180,748,748
314,435,314
34,8,8
513,208,513
339,444,339
4,194,4
360,208,208
737,329,737
486,617,617
185,172,172
397,796,397
242,308,308
486,548,548
764,139,139
434,10,10
254,640,254
575,760,760
380,722,380
469,790,790
543,471,543
779,290,779
719,374,719
378,465,465
411,122,411
285,760,760
220,723,723
356,323,323
498,62,498
205,270,270
768,398,398
586,593,593
120,310,310
501,759,759
88,449,449
150,583,583
672,340,340
749,6,6
497,714,714
312,95,95
484,382,484
251,119,119
160,614,614
18,304,304
499,125,499
22,635,635
426,427,427
796,570,570
429,375,429
672,732,732
761,172,172
288,524,288
596,692,692
347,233,233
257,221,257
86,589,589
746,573,746
255,470,470
745,569,745
309,603,603
546,289,546
134,201,201
104,416,104
324,45,324
290,324,324
571,111,571
240,239,239
56,444,444
44,27,44
193,500,193
494,692,692
582,523,582
646,472,472
283,757,283
797,196,797
688,394,394
152,88,152
537,292,537
385,797,797
673,613,613
336,609,336
537,523,537
353,646,646
467,405,467
760,649,649
391,238,391
339,80,339
324,312,312
464,656,656
140,162,162
349,24,24
186,705,705
147,700,147
656,541,541
475,10,475
382,775,775
766,245,766
147,158,147
293,371,371
753,278,278
578,495,495
540,286,286
463,147,147
194,707,707
538,741,538
197,502,502
688,353,688
599,228,228
149,634,634
510,288,288
62,601,62
4,212,212
106,795,795
517,740,740
506,561,506
222,758,758
792,159,792
511,377,377
109,276,276
630,769,630
376,721,721
509,786,786
384,719,384
533,679,679
437,719,437
691,65,65
596,283,596
4,17,4
311,259,259
699,89,699
415,376,376
221,234,221
521,374,521
767,281,767
397,772,772
596,711,711
96,579,579
779,259,259
105,524,524
275,737,275
5,246,246
171,297,171
62,475,475
640,42,42
321,264,264
612,570,570
554,250,554
377,390,377
739,609,739
310,331,310
61,568,61
56,173,173
123,492,123
306,364,306
285,416,416
415,675,415
216,657,216
356,74,74
742,225,742
358,7,7
62,314,314
23,544,23
124,729,124
145,301,301
314,586,314
770,242,242
679,639,679
106,266,106
248,36,248
551,612,551
628,458,628
72,685,685
113,548,548
461,17,461
121,74,74
262,791,791
279,535,535
408,337,337
518,638,518
565,64,565
673,594,673
195,624,195
397,531,531
117,334,334
663,228,663
758,613,613
620,360,620
308,648,648
348,207,348
692,738,692
705,178,705
428,760,428
787,242,787
445,28,28
543,389,543
309,288,288
468,739,739
233,93,93
627,32,32
240,427,427
657,61,61
60,354,60
378,241,241
562,80,80
414,31,414
475,94,475
598,699,699
202,305,202
644,752,752
559,652,559
736,100,100
502,516,516
108,756,108
118,622,622
327,59,59
262,534,534
780,403,780
685,517,517
587,744,587
219,74,219
697,786,786
57,404,57
492,216,216
309,355,309
779,176,176
501,712,712
319,143,143
175,697,697
225,411,411
716,766,766
711,304,711
262,67,67
408,14,408
148,194,148
608,22,608
471,379,379
39,606,606
760,738,760
410,175,410
319,437,437
367,307,307
591,646,646
631,168,631
581,645,581
404,13,13
191,209,209
6,254,254
708,250,708
317,140,140
38,171,171
160,510,160
398,220,398
558,539,539
20,758,20
653,461,461
656,690,690
398,234,234
19,363,19
315,137,137
15,791,791
344,389,344
288,670,670
207,719,719
243,370,370
375,597,597
776,393,393
447,35,35
293,141,141
246,657,246
94,493,493
87,312,312
533,730,533
540,366,540
15,278,278
79,4,4
192,402,192
253,558,253
750,264,264
349,368,349
635,147,147
674,27,674
563,780,563
489,472,472
566,17,566
321,292,321
452,588,588
732,599,732
515,719,515
265,572,572
125,627,125
754,5,5
380,737,737
474,545,545
173,159,159
191,277,277
